label,type,family,covars,n_tests,mean_mae_rate,sd_mae_rate,mean_rmse_rate,mean_mae_log,mean_cor_rate,mean_mae_count,sd_mae_count,mean_rmse_count,mean_cor_count,mean_zero_acc,skill_mae_rate,skill_rmse_rate,skill_mae_count,skill_rmse_count,rank_rate,rank_count
"Hurdle GLM_INT (island, log(max_wind_speed) & log(sdi))",hurdle,glm_int,island,25,1.6008887494165978,0.8249518692740583,14.759604441003667,2.294042798177128,-0.13235181149934414,389.9689846262185,251.94819592616852,5298.3299556444435,0.006577673227885369,0.47013738250180764,0.7007653244240191,0.016072034603453744,0.8419795302536623,0.33877827818785033,74.0,220.0
"Hurdle GLM_INT (island, log(max_wind_speed))",hurdle,glm_int,island,25,1.599351168435534,0.8251644227879427,14.758240234392813,2.285136365087111,-0.12167335353599595,390.52887277415283,252.1310154555896,5298.943740027159,0.006696152774007194,0.47433116413593635,0.701052725747945,0.016162977490193242,0.841752656344121,0.33870167903873016,68.0,225.0
"Hurdle GLM_INT (island, log(sdi))",hurdle,glm_int,island,25,1.8293035575089827,0.7938023828356547,14.947838243656697,2.203249630066004,-0.031116391602198038,457.88288274548046,218.0802727685378,5364.635002036251,0.0012033693953124765,0.4837310195227766,0.6580705206650552,0.003523696793754527,0.8144599415012466,0.3305035317475463,214.0,447.0
"Hurdle GLM_INT (island, no log)",hurdle,glm_int,island,25,1.6800224233384595,0.8232462375619738,14.77940207258953,2.201477344245338,-0.03545951867041558,424.1234721338754,238.01530444016126,5335.085220367531,0.0037539989769691203,0.48705712219812003,0.6859738286053538,0.014752253748633981,0.8281396907467373,0.33419128952740074,116.0,310.0
"Hurdle GLM_INT (island_basin, log(max_wind_speed) & log(sdi))",hurdle,glm_int,island_basin,25,1.5985633044394671,0.8251774849753739,14.757415517442531,2.2752980156572056,-0.10826689151453131,383.4980143700631,255.14207463934835,5298.697533204534,0.011156159894885819,0.47216196673897326,0.7011999915884645,0.016217956068661388,0.8446016509860902,0.3387324051921673,63.0,197.0
"Hurdle GLM_INT (island_basin, log(max_wind_speed))",hurdle,glm_int,island_basin,25,1.5969030469560974,0.8254409386033977,14.75580955617115,2.2659601741867843,-0.09620263531842876,383.1953067357927,255.44946305204178,5298.982784109898,0.010693313346902978,0.4725958062183659,0.7015103233398681,0.01632501518481677,0.8447243120295295,0.33869680640983924,51.0,194.0
"Hurdle GLM_INT (island_basin, log(sdi))",hurdle,glm_int,island_basin,25,1.824784556176289,0.7948434482093543,14.939987358582101,2.1848061635718,-0.029991105943393617,453.8737723156069,220.12563245293242,5366.970067281973,0.0029380462694420903,0.4864786695589299,0.6589152026569856,0.004047064842599313,0.8160844848325599,0.33021211994887656,212.0,431.0
"Hurdle GLM_INT (island_basin, no log)",hurdle,glm_int,island_basin,25,1.6785662804062593,0.8237395533596297,14.777548745833222,2.18228393029292,-0.032534875881458265,419.204361807739,240.03943859012773,5338.316342298739,0.005241527348476829,0.4854663774403471,0.6862460077046623,0.014875803131806031,0.83013297779036,0.3337880515213453,113.0,299.0
"Hurdle GLM_INT (island_year, log(max_wind_speed) & log(sdi))",hurdle,glm_int,island_year,25,1.5979635349036507,0.8256160377630536,14.758656593622096,2.264606615511071,-0.12243393953901528,390.90503665996715,251.7691362198097,5302.829495842119,0.004099726317290892,0.47982646420824293,0.7013120992177646,0.016135221496394125,0.8416002298787318,0.33821674394181855,55.0,228.0
"Hurdle GLM_INT (island_year, log(max_wind_speed))",hurdle,glm_int,island_year,25,1.595527352284539,0.826068520212217,14.756805971886084,2.2509245797607305,-0.1098950105386508,391.253626450452,252.23878093870368,5304.017073143597,0.004575012174084626,0.4825741142443962,0.7017674652236408,0.01625859055324863,0.841458976792941,0.33806853650388213,40.0,229.0
"Hurdle GLM_INT (island_year, log(sdi))",hurdle,glm_int,island_year,25,1.8141555008717496,0.8090482406160787,15.06807931682146,1.8948558973906948,-0.03236967887829476,453.9102464961659,217.48379751617776,5448.652688483222,0.0006725052280831975,0.5511207519884309,0.6609019627718855,-0.004492002742706669,0.8160697050234653,0.32001828077974726,209.0,433.0
"Hurdle GLM_INT (island_year, no log)",hurdle,glm_int,island_year,25,1.6929742765868225,0.8309204322630701,14.846589291790961,2.027085077500789,-0.030840411546509343,431.6799032208141,240.92782535464139,5421.26038076884,0.002456295034911904,0.525234996384671,0.6835528961037706,0.010273313669056927,0.8250777272649277,0.32343678982371804,120.0,322.0
"Hurdle GLM_INT (island_basin_year, log(max_wind_speed) & log(sdi))",hurdle,glm_int,island_basin_year,25,1.5981600318185811,0.8260784286493942,14.759090950258084,2.2703327047386224,-0.11713272203129668,381.0551669868016,255.48247740116602,5297.068041338627,0.013422206444635595,0.4725958062183659,0.7012753704378214,0.016106265731162472,0.8455915242997117,0.33893576274563675,57.0,188.0
"Hurdle GLM_INT (island_basin_year, log(max_wind_speed))",hurdle,glm_int,island_basin_year,25,1.594048158087096,0.8256684467297539,14.752411272030127,2.24290072859021,-0.07466651511692536,389.16932087932696,253.6774245688955,5305.359442663262,0.0011261984145206191,0.48315256688358643,0.7020439530157793,0.016551556947103196,0.8423035643330495,0.3379010112850809,34.0,216.0
"Hurdle GLM_INT (island_basin_year, log(sdi))",hurdle,glm_int,island_basin_year,25,1.8016339869384932,0.8096722547139824,15.047133722015095,1.899111855879153,-0.03171004158655484,447.2531858787792,219.41957662313953,5434.001389162595,0.002692723157389145,0.5469269703543023,0.6632424571759492,-0.003095694558146178,0.8187672319739678,0.32184673567868183,200.0,356.0
"Hurdle GLM_INT (island_basin_year, no log)",hurdle,glm_int,island_basin_year,25,1.6817166387743043,0.8282055006588662,14.830152775272145,2.035838733785482,-0.02890395871413655,419.86361067819854,244.44268069950897,5393.405864767586,0.004875242191993821,0.5204627621113521,0.6856571495066435,0.011369030584859607,0.8298658416326227,0.32691298160202964,117.0,301.0
"Hurdle GLM_ISLAND (island, log(max_wind_speed) & log(sdi))",hurdle,glm_island,island,25,1.5993160692106487,0.8253461497658687,14.75514502983996,2.2779628389247177,-0.09169854915825486,382.0438866269298,254.34747274517522,5295.768907946043,0.006510172106477761,0.4725958062183659,0.7010592864194316,0.016369314884284503,0.8451908823303761,0.3390978921762119,67.0,190.0
"Hurdle GLM_ISLAND (island, log(max_wind_speed))",hurdle,glm_island,island,25,1.5983639273602461,0.8254570983214282,14.755377056784845,2.273299616007665,-0.09454778152973536,380.7771275118672,255.09693678546068,5295.317042223855,0.008551108645273487,0.4737527114967462,0.7012372587225109,0.01635384713914878,0.8457041894863528,0.33915428417772076,60.0,187.0
"Hurdle GLM_ISLAND (island, log(sdi))",hurdle,glm_island,island,25,1.6730708345897947,0.81063810431168,14.76524407857824,1.9886422939650064,-0.03432279680386012,438.3444605087282,237.002586386216,5320.818981816218,0.05196880949909189,0.5613882863340564,0.6872732045955359,0.015696076213342125,0.822377162566694,0.33597168955866585,110.0,349.0
"Hurdle GLM_ISLAND (island, no log)",hurdle,glm_island,island,25,1.6718352330790394,0.8103161148530983,14.765119404013628,1.984587702096259,-0.0337521680259484,440.5140014396859,236.3906254798242,5323.10746023931,0.05235725271995233,0.5610990600144613,0.6875041605675525,0.015704387465258485,0.8214980365578078,0.3356860917087934,109.0,353.0
"Hurdle GLM_ISLAND (island_basin, log(max_wind_speed) & log(sdi))",hurdle,glm_island,island_basin,25,1.5965048206279995,0.8253955286841637,14.753201710543184,2.259916814532153,-0.07512940814989684,380.3852854353383,256.206545566182,5297.4553744005125,0.012742998349001814,0.47143890093998553,0.7015847589470504,0.01649886349173102,0.8458629689571326,0.33888742430008156,48.0,185.0
"Hurdle GLM_ISLAND (island_basin, log(max_wind_speed))",hurdle,glm_island,island_basin,25,1.595969240492708,0.8255569600773859,14.753634372727214,2.25673294435197,-0.07897660012333893,378.46197643005775,256.9983951457992,5296.945272304762,0.013674683989360956,0.4723065798987708,0.7016848684319146,0.01647002068472092,0.8466423186091905,0.33895108409267205,44.0,182.0
"Hurdle GLM_ISLAND (island_basin, log(sdi))",hurdle,glm_island,island_basin,25,1.6683214648392353,0.809997936214839,14.761778375747818,1.9717602064246813,-0.027071207624671047,438.49210141600923,238.89054106341214,5345.9754570483865,0.050368551144018774,0.5613882863340564,0.6881609465557544,0.01592711234633859,0.8223173365640064,0.33283220824908477,107.0,350.0
"Hurdle GLM_ISLAND (island_basin, no log)",hurdle,glm_island,island_basin,25,1.6666456931157614,0.8085988045457622,14.76244705351126,1.959178693574715,-0.027741582267330388,437.996809730565,238.09187795858531,5345.482603781374,0.05048989779984564,0.5645697758496023,0.6884741781954895,0.01588253589756461,0.822518035152563,0.3328937154199374,106.0,348.0
"Hurdle GLM_ISLAND (island_year, log(max_wind_speed) & log(sdi))",hurdle,glm_island,island_year,25,1.5962953785638887,0.8261383610569888,14.75455851041354,2.250257715005937,-0.0910780767005462,383.64846917677465,253.95371571849842,5300.127539397735,0.003986534493291098,0.48127259580621834,0.7016239074063852,0.016408414364776025,0.8445406847550065,0.338553943079542,47.0,199.0
"Hurdle GLM_ISLAND (island_year, log(max_wind_speed))",hurdle,glm_island,island_year,25,1.5944157983175564,0.8265754357857638,14.75404706933863,2.2405408193131393,-0.08883581235186189,382.0192302124871,255.0428746230308,5300.018634647765,0.006170160052173028,0.48315256688358643,0.7019752344960629,0.01644250885411458,0.8452008734279918,0.3385675341897393,37.0,189.0
"Hurdle GLM_ISLAND (island_year, log(sdi))",hurdle,glm_island,island_year,25,1.6337090650903117,0.828046759662419,14.833041666789422,1.6766301983932819,-0.015472333434953845,396.29299557734447,263.7259837191968,5399.878271867004,0.053094751453075704,0.59117859725235,0.6946306217368372,0.011176446754838532,0.8394169593298855,0.3261052372368477,96.0,252.0
"Hurdle GLM_ISLAND (island_year, no log)",hurdle,glm_island,island_year,25,1.6342542128402855,0.8263831025020293,14.834711218839194,1.6667983624526803,-0.014448514838325736,398.32826979040135,262.65899214597357,5401.367093032609,0.05776607209549456,0.5927693420101229,0.6945287238940523,0.01106514845019746,0.8385922399293975,0.3259194351250817,97.0,257.0
